	04003186.kraken.report_bracken_species	04014599.kraken.report_bracken_species	04018722.kraken.report_bracken_species	04023356.kraken.report_bracken_species	04023518.kraken.report_bracken_species	04024973.kraken.report_bracken_species	04031150.kraken.report_bracken_species	04037900.kraken.report_bracken_species	04038716.kraken.report_bracken_species	04046046.kraken.report_bracken_species	04063256.kraken.report_bracken_species	04068115.kraken.report_bracken_species	04069861.kraken.report_bracken_species	04075146.kraken.report_bracken_species	04077278.kraken.report_bracken_species	04079838.kraken.report_bracken_species	04082908.kraken.report_bracken_species	04085946.kraken.report_bracken_species	04086520.kraken.report_bracken_species	04099876.kraken.report_bracken_species	04118811.kraken.report_bracken_species	04122111.kraken.report_bracken_species	04132471.kraken.report_bracken_species	04148641.kraken.report_bracken_species	04159942.kraken.report_bracken_species	04167474.kraken.report_bracken_species	04168812.kraken.report_bracken_species	04178089.kraken.report_bracken_species	04182411.kraken.report_bracken_species	04205458.kraken.report_bracken_species	04214331.kraken.report_bracken_species	04219292.kraken.report_bracken_species	04220119.kraken.report_bracken_species	04220600.kraken.report_bracken_species	04221556.kraken.report_bracken_species	04221943.kraken.report_bracken_species	04222003.kraken.report_bracken_species	04225155.kraken.report_bracken_species	04225432.kraken.report_bracken_species	04226995.kraken.report_bracken_species	04236917.kraken.report_bracken_species	04241347.kraken.report_bracken_species	04251349.kraken.report_bracken_species	04253668.kraken.report_bracken_species	04253936.kraken.report_bracken_species	04258894.kraken.report_bracken_species	04260238.kraken.report_bracken_species	04272955.kraken.report_bracken_species	04276274.kraken.report_bracken_species	04277092.kraken.report_bracken_species	04287603.kraken.report_bracken_species	04288878.kraken.report_bracken_species	04289518.kraken.report_bracken_species	04297512.kraken.report_bracken_species	04300201.kraken.report_bracken_species	04308139.kraken.report_bracken_species	04308973.kraken.report_bracken_species	04309311.kraken.report_bracken_species	04317291.kraken.report_bracken_species	04324931.kraken.report_bracken_species	04334129.kraken.report_bracken_species	04343001.kraken.report_bracken_species	04348603.kraken.report_bracken_species	04349732.kraken.report_bracken_species	04358531.kraken.report_bracken_species	04365141.kraken.report_bracken_species	04369157.kraken.report_bracken_species	04375131.kraken.report_bracken_species	04376417.kraken.report_bracken_species	04377895.kraken.report_bracken_species	04395079.kraken.report_bracken_species	04395966.kraken.report_bracken_species	04404154.kraken.report_bracken_species	04411609.kraken.report_bracken_species	04412786.kraken.report_bracken_species	04420190.kraken.report_bracken_species	04421441.kraken.report_bracken_species	04432209.kraken.report_bracken_species	04435618.kraken.report_bracken_species	04442713.kraken.report_bracken_species	04447772.kraken.report_bracken_species	04473311.kraken.report_bracken_species	04490447.kraken.report_bracken_species	04490971.kraken.report_bracken_species	04496787.kraken.report_bracken_species	04519622.kraken.report_bracken_species	04524799.kraken.report_bracken_species	04535549.kraken.report_bracken_species	04540284.kraken.report_bracken_species	04544177.kraken.report_bracken_species	04545616.kraken.report_bracken_species	04547392.kraken.report_bracken_species	04554614.kraken.report_bracken_species	04558599.kraken.report_bracken_species	04561334.kraken.report_bracken_species	04591234.kraken.report_bracken_species	04596228.kraken.report_bracken_species	04598494.kraken.report_bracken_species	04605581.kraken.report_bracken_species	04612165.kraken.report_bracken_species	04613195.kraken.report_bracken_species	04627490.kraken.report_bracken_species	04628434.kraken.report_bracken_species	04628962.kraken.report_bracken_species	04646821.kraken.report_bracken_species	04676011.kraken.report_bracken_species	04713011.kraken.report_bracken_species	04729044.kraken.report_bracken_species	04746461.kraken.report_bracken_species	04755264.kraken.report_bracken_species	04766112.kraken.report_bracken_species	04769418.kraken.report_bracken_species	04772056.kraken.report_bracken_species	04774937.kraken.report_bracken_species	04775318.kraken.report_bracken_species	04776184.kraken.report_bracken_species	04785218.kraken.report_bracken_species	04785256.kraken.report_bracken_species	04797503.kraken.report_bracken_species
767892	1	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	2	1	0	0	1	5	1	0	0	0	0	0	2	1	0	1	2	1	0	2	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	5	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1
1509244	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1124597	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
208216	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
152480	2	0	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	1	1	0	0	1	0	1	0	0	0	0	5	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2
87883	2	1	0	3	0	3	3	0	0	0	0	0	2	0	1	0	0	1	1	3	0	0	2	2	0	4	1	1	0	2	1	0	0	1	0	1	0	3	1	1	0	3	0	2	0	0	4	0	1	1	3	0	0	0	0	3	0	0	1	0	3	0	0	0	1	0	2	1	0	1	0	0	1	0	2	0	5	0	1	0	2	0	0	0	0	5	1	1	1	0	2	0	1	1	2	0	5	1	0	3	4	0	4	0	3	0	1	2	0	4	0	0	0	2	0	3	0	0	4
95486	1	0	0	6	9	10	5	0	1	1	2	0	4	1	0	0	3	3	3	2	4	0	6	9	2	5	6	1	5	3	0	1	2	3	3	5	2	3	0	1	0	0	0	3	4	4	0	1	0	7	0	0	0	4	5	2	0	0	2	0	5	5	1	10	4	8	1	4	13	1	14	0	12	0	1	1	4	1	3	1	2	0	2	2	6	7	0	0	4	2	11	0	0	0	11	2	3	1	0	1	2	0	6	3	7	0	2	6	0	5	0	3	0	1	0	2	0	0	5
60550	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1
482957	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	1	7	0	0	0	3	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	2	0	6	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	1	0	3	0	0	1	0	2	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	8
488447	0	0	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	2	0	1	1	1	2	0	1	1	1	1	0	2	0	2	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	1	0	1	0	1	0	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
292	2	0	0	0	0	2	3	0	0	0	1	0	0	0	11	0	0	0	5	1	0	1	2	1	0	2	5	3	4	2	1	1	3	3	2	4	3	0	0	0	1	5	1	2	0	0	3	0	2	2	2	0	0	0	18	2	0	0	0	0	33	4	0	0	3	0	1	1	0	1	5	0	3	1	2	0	2	3	0	0	0	0	5	0	2	4	0	0	0	4	0	0	0	21	0	36	5	3	2	1	2	0	0	0	2	0	0	2	1	4	0	2	0	4	3	3	0	1	7
1637869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
101571	1	0	0	1	2	3	2	0	1	2	1	0	0	4	0	1	0	0	2	1	0	1	2	1	2	5	1	0	2	0	0	3	0	4	0	2	0	8	0	1	4	2	3	0	0	0	1	0	0	0	1	0	0	2	1	3	0	0	5	0	0	4	0	0	1	3	2	3	11	2	2	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	20	0	0	1	1	0	4	2	0	3	1	0	0	0	2	0	1	1	0	1	0	1	0	5	0	23	0	0	3
265293	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	9	3	3	3	0	0	1	0	0	2	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	6
488729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
57975	0	6	0	24	16	11	14	1	0	0	0	0	0	0	2	0	2	0	20	3	0	0	1	31	0	29	5	3	20	0	4	0	0	13	0	15	0	5	0	0	0	3	1	1	2	0	2	0	0	0	0	0	0	0	17	6	0	0	0	0	18	4	6	0	16	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	15	0	10	5	0	0	0	13	66	0	0	0	0	2	24	8	0	3	4	0	2	0	27	0	11	0	0	7	0	0	0	14	13	17	0	0	25
28450	7	11	12	21	42	23	40	0	2	4	8	0	28	15	8	0	12	0	34	0	9	0	27	20	17	46	31	16	22	1	8	11	31	10	22	55	49	39	0	18	0	15	8	35	29	12	21	0	12	0	38	0	0	57	44	11	0	0	17	0	27	37	10	72	15	24	25	18	10	12	140	13	9	2	11	48	20	0	6	6	37	0	29	0	7	64	3	31	8	13	37	1	6	38	61	19	58	88	0	4	12	0	13	4	11	20	15	23	0	13	0	22	0	15	29	56	0	0	37
1855726	0	1	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	1	0	1	0	0	0	3	0	1	1	0	0	0	1	4	1	3	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	1	2	1	0	1	1	0	2	2	3	1	0	0	0	0	0	0	0	3	0	0	0	1	5	7	1	3	2	4	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	4	2	0	2	0	0	0	3	2	2	0	0	2
2217913	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1795043	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1705310	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0
640512	2	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	2	1	0	0	1	0	3	0	0	2	1	1	0	1	0	3	0	1	0	4	0	0	3
1804984	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	3	0	0	0	0	5
28095	1	3	0	1	1	3	5	0	0	0	0	0	3	1	1	0	1	0	0	2	0	0	4	1	0	4	4	2	2	2	2	1	1	5	1	3	1	0	0	0	0	4	1	1	2	1	3	1	1	1	2	0	1	0	1	1	1	1	2	0	2	1	1	0	2	0	1	2	1	1	2	0	0	0	4	0	1	2	0	0	0	0	5	0	0	1	0	0	0	3	2	0	0	2	1	2	3	2	0	4	0	0	0	1	1	0	1	2	0	7	0	1	0	1	0	1	0	0	5
41899	0	1	0	6	1	2	3	0	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	4	0	0	2	2	0	0	0	1	2	1	0	0	0	3	0	0	2	0	1	0	0	0	4	0	1	0	2	0	0	0	2	4	0	0	0	0	1	1	0	1	2	0	0	1	1	0	0	0	5	0	1	0	3	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	1	1	0	0	3	4	0	1	0	0	2	0	1	0	0	2	0	4	0	1	0	2	0	0	0	0	0
758793	0	0	0	1	3	0	7	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	2	0	2	1	2	0	0	0	0	0	0	1	3	1	0	0	0	2	0	0	1	0	1	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	3	0	1	0	3	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2
164546	4	3	1	3	2	9	12	3	1	2	4	0	3	4	4	0	3	4	4	3	1	1	7	15	3	8	6	3	13	6	8	2	7	4	8	13	3	9	1	6	0	1	5	8	4	8	5	1	5	9	7	0	1	5	6	7	1	3	10	3	8	4	2	1	7	9	10	1	8	6	16	5	6	0	15	4	8	4	8	0	2	0	7	0	8	6	2	1	2	7	11	2	1	8	6	6	12	4	3	2	2	0	1	0	5	1	7	6	1	10	0	7	0	8	4	9	3	1	9
106590	1	0	0	6	2	4	7	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	3	1	2	0	3	1	0	1	1	2	4	1	1	3	1	0	0	0	2	3	5	1	1	0	1	2	2	1	0	0	1	1	1	0	0	1	0	0	7	1	4	3	1	3	5	0	6	6	1	2	0	1	4	2	0	0	0	2	0	2	0	1	6	0	1	1	3	1	0	1	3	0	2	5	5	0	0	0	0	0	0	4	3	1	3	0	4	0	0	0	2	0	0	0	0	2
96344	0	1	2	1	1	4	2	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	5	1	0	1	1	2	0	1	0	0	2	0	0	3	4	1	0	0	1	2	2	1	0	0	0	0	0	4	1	0	0	5	2	1	0	0	1	0	1	3	2	1	2	0	1	2	2	1	1	1	6	0	1	1	0	0	0	0	2	0	1	0	0	1	0	0	1	1	8	0	0	1	0	0	1	3	0	1	1	0	0	0	1	3	1	1	0	2	0	0	0	1	1	2	0	0	3
68895	0	0	0	2	0	2	0	1	0	2	0	0	0	2	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	2	0	0	0	0	2	0	2	0	0	4	0	3	2	1	1	2	0	0	0	0	0	2	1	3	0	1	0	2	0	1	0	1	0	8	0	1	4	0	0	1	3	1	3	1	3	1	0	0	4	0	1	8	0	0	1	1	0	0	1	0	1	0	0	0	1	3	1	0	0	5
119219	0	0	0	4	9	6	5	0	0	0	0	0	0	1	1	0	0	0	4	1	0	0	0	3	0	11	1	2	1	1	0	1	0	2	1	4	2	1	0	1	0	4	6	3	3	1	0	0	0	0	0	0	0	7	1	3	2	0	3	0	5	2	1	3	1	3	2	2	2	0	2	5	3	0	2	0	3	1	1	0	2	0	4	0	1	12	2	0	0	2	17	0	1	1	0	0	3	6	0	0	0	0	0	0	5	1	0	6	0	3	0	3	0	4	0	1	2	0	4
82541	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	2	0	2	3	2	0	2	0	1	0	1	2	0	1	1	0	1	1	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	3	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	6	0	1	1	0	4	0	0	0	2	1	0	3	0	0	0	0	1	0	1	0	0	2	0	3	0	0	0	2	0	0	0	0	0
305	1	5	0	13	27	6	31	5	0	2	7	0	5	14	4	0	4	0	0	6	8	1	3	13	2	22	13	2	8	8	5	5	14	5	11	18	5	7	0	5	0	5	3	11	5	6	13	2	5	11	6	0	0	16	10	5	2	0	11	3	5	9	5	10	8	13	7	7	8	11	5	1	10	3	5	3	5	7	11	4	8	0	3	0	6	21	0	1	2	12	27	2	2	6	4	3	14	8	1	6	14	0	14	2	6	0	7	13	7	7	0	4	0	8	1	25	1	0	35
190721	1	0	0	4	11	0	13	0	0	0	1	0	0	16	0	0	4	0	4	3	0	2	0	6	0	5	4	4	1	2	1	0	1	3	7	1	0	1	0	1	1	2	0	4	2	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	1	4	0	6	2	7	2	3	0	10	14	11	1	0	5	0	0	0	5	0	6	2	4	0	0	5	0	0	0	4	13	1	0	1	0	4	3	3	0	2	3	0	8	1	2	0	4	2	0	2	0	0	0	2	0	1	0	0	12
105219	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
329	0	1	0	2	13	2	1	0	1	0	0	1	2	0	0	0	0	0	1	4	1	0	7	9	0	4	6	2	7	0	2	1	1	1	0	7	1	2	1	0	0	1	3	0	3	2	3	1	0	2	3	0	0	1	5	4	0	0	2	0	1	1	0	2	0	0	1	2	3	0	1	5	0	0	1	1	1	0	7	0	0	0	1	0	1	0	6	1	8	3	1	1	2	2	2	1	3	3	0	0	0	0	0	0	1	0	0	3	1	4	0	1	0	1	1	0	0	0	5
1761016	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	2	0	1	1	2	0	0	2	1	1	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	2	0	1	1	0	0	0	0
169430	0	1	0	3	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	2	2	0	4	1	0	2	0	0	0	0	3	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	5	0	0	1	1	1	2	0	0	0	1	0	0	0	1	0	0	1	4	2	0	0	0	1	6	0	0	0	2	1	2	2	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	14	0	0	1
75105	1	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	0	4	1	0	3	0	0	0	0	1	1	1	0	1	0	0	1	0	3	2	0	0	7	0	0	0	0	0	0	1	0	1	1	0	2	0	2	0	0	0	5	0	1	1	1	0	2	0	0	0	1	0	0	1	2	0	0	0	2	0	1	3	1	0	0	2	2	0	1	2	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1
134537	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	2
261302	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2	4	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1926494	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	2	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	4	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	4	1	1	0	0	0	1	0	0	2	0	0	0	2	0	0	4	0	1	0	0	1	11	0	0	0
60548	0	0	1	3	4	4	1	1	2	0	0	0	1	12	1	0	1	7	2	7	2	0	0	3	0	0	4	2	1	3	0	0	0	0	2	1	0	2	0	0	0	2	0	2	1	1	3	0	2	0	0	0	0	6	0	1	0	0	0	0	5	3	0	3	3	1	3	4	0	4	1	5	7	0	1	2	0	0	1	0	1	0	1	0	3	8	0	0	1	3	5	0	0	0	2	0	1	1	0	0	3	0	0	1	5	1	1	2	0	5	0	0	0	0	1	21	3	0	4
169427	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	2	0	1	10	0	2	4	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	2	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2
311230	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	13	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	5	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	7
93220	1	3	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	6	1	1	1	0	2	0	3	1	1	1	1	1	0	2	0	3	1	1	2	1	1	1	0	1	1	0	0	4	1	0	0	0	1	0	3	2	1	0	1	0	0	1	1	0	3	1	5	0	1	2	2	0	0	0	1	0	1	0	1	4	0	0	0	1	0	1	0	2	4	0	4	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	2	1	2	1	0	2
93218	0	0	0	2	18	0	9	0	0	0	0	0	0	14	0	0	2	0	12	1	0	0	3	2	0	5	1	2	0	1	0	0	2	2	1	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	10	1	0	0	0	6	0	1	0	0	11	1	1	3	0	0	5	15	16	2	0	0	0	0	0	6	0	1	1	0	0	1	0	1	0	0	1	1	1	2	0	0	3	4	1	0	1	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	12
93221	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	1	2	2	0	0	0	0	0	0	0	2	0	1	0	1	2	0	3	0	1	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
656178	1	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	2	0	1	1	0	0	0	0	0	0	1	5	0	0	3
93222	0	0	0	0	9	2	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	0	1	1	0	2	0	0	0	0	0	1	0	1	1	0	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	4	0	0	0	3	4	0	1	0	1	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
